id,family_key,user_id,user_role,type,title,price,expected_mood,created_at,is_done
1768247607258,1A1BCB93,907297566,husband,🛍️,машина,1000.0,10,2026-01-12 22:53:27,False
1768247624937,1A1BCB93,907297566,husband,✨,ФОТКИ 18+,0.0,10,2026-01-12 22:53:44,False
1768247714664,340DABBF,907297566,husband,✨,оаоао,0.0,10,2026-01-12 22:55:14,False
1768247941434,340DABBF,907297566,husband,🛍️,иои,766.0,10,2026-01-12 22:59:01,False
1768248580460,9FF5775C,907297566,husband,Моральное,ововоаоа,0.0,10,2026-01-12 23:09:40,False
1768248644836,315AD8F1,907297566,husband,Моральное,✨ Моральное,0.0,10,2026-01-12 23:10:44,False
1768248986719,AFEF325B,907297566,husband,Моральное,тата,0.0,10,2026-01-12 23:16:26,False
1768250047750,217F4AB6,907297566,husband,Моральное,о. ог,0.0,5,2026-01-12 23:34:07,True
1768250159709,0FB53981,907297566,husband,Моральное,Фотки 18+,0.0,10,2026-01-12 23:35:59,True
1768250246817,0FB53981,907297566,wife,Моральное,окок,0.0,10,2026-01-12 23:37:26,True
1768250292282,0FB53981,742013451,wife,Покупка,Хочу раскраску Дисней оригинал и маркеры 😭,6000.0,10,2026-01-12 23:38:12,False
1768250785650,0FB53981,907297566,husband,Моральное,оаоуоао,0.0,5,2026-01-12 23:46:25,True
1768251178459,0FB53981,907297566,husband,Моральное,фотки,0.0,10,2026-01-12 23:52:58,False
1768251327963,0FB53981,742013451,wife,Моральное,Заботу,0.0,5,2026-01-12 23:55:27,False
1768251362063,0FB53981,742013451,wife,Покупка,Косметолог,17000.0,10,2026-01-12 23:56:02,False
